,solar,grid,savings
5524,24.33114,300.28043,275.94928
5525,11.765547,143.68098,131.91544
5526,29.138142,360.18796,331.0498
5527,29.902063,369.7084,339.80634
5528,28.19972,348.49283,320.29312
5529,29.539322,365.18768,335.64838
5530,13.881485,170.051,156.16951
5531,22.482141,277.23718,254.75504
5532,16.180822,198.70663,182.52582
5533,14.901935,182.7684,167.86647
5534,22.452309,276.8654,254.41309
5535,11.409633,139.24539,127.83576
5536,12.868512,157.42676,144.55824
5537,24.071106,297.03973,272.96863
5538,19.11115,235.22601,216.11487
5539,28.455944,351.68604,323.2301
5540,17.039331,209.40584,192.3665
5541,15.233203,186.89687,171.66367
5542,25.332033,312.75412,287.4221
5543,13.662189,167.318,153.6558
5544,30.580463,378.163,347.58252
5545,18.286575,224.94969,206.66312
5546,17.366095,213.47815,196.11206
5547,29.629602,366.3128,336.6832
5548,27.219097,336.27176,309.05267
5549,9.9196415,120.676285,110.756645
5550,28.643238,354.0202,325.37695
5551,25.456642,314.30707,288.85043
5552,12.299238,150.33215,138.03291
5553,23.86555,294.47797,270.61243
5554,25.293709,312.27652,286.98282
5555,9.708201,118.0412,108.333
5556,10.394333,126.59216,116.19783
5557,22.273886,274.64178,252.3679
5558,27.14156,335.30545,308.16388
5559,24.552187,303.03522,278.48303
5560,33.038685,408.7987,375.76
5561,28.394407,350.91913,322.52472
5562,17.332497,213.05942,195.72693
5563,19.326982,237.91583,218.58885
5564,17.52973,215.51747,197.98775
5565,17.352581,213.30974,195.95715
5566,31.356321,387.83218,356.47586
5567,14.745231,180.81548,166.07025
5568,29.26294,361.74326,332.48032
5569,25.14133,310.37747,285.23615
5570,18.272903,224.7793,206.5064
5571,13.962696,171.0631,157.1004
